"","V1"
"409","FBgn0032639"
"410","FBgn0035496"
"411","FBgn0051780"
"412","FBgn0051827"
"413","FBgn0031554"
"414","FBgn0031558"
"415","FBgn0031562"
"416","FBgn0031563"
"417","FBgn0031564"
"418","FBgn0038654"
"419","FBgn0085305"
"420","FBgn0260645"
"421","FBgn0260646"
"422","FBgn0261630"
"423","FBgn0261633"
"424","FBgn0261634"
"425","FBgn0031559"
"426","FBgn0031560"
"427","FBgn0031561"
"428","FBgn0039077"
"429","FBgn0051515"
"430","FBgn0051609"
"431","FBgn0051779"
"432","FBgn0259954"
"433","FBgn0262009"
"434","FBgn0262010"
"435","FBgn0262721"
"436","FBgn0263842"
"437","FBgn0033733"
"438","FBgn0034552"
"439","FBgn0034553"
"440","FBgn0035006"
"441","FBgn0035641"
"442","FBgn0035642"
"443","FBgn0037996"
"444","FBgn0038730"
"445","FBgn0038731"
"446","FBgn0038732"
"447","FBgn0038733"
"448","FBgn0038734"
"449","FBgn0010549"
"450","FBgn0032026"
"451","FBgn0032908"
"452","FBgn0034612"
"453","FBgn0038740"
"454","FBgn0039207"
"455","FBgn0039644"
"456","FBgn0039645"
"457","FBgn0051792"
"458","FBgn0051793"
"459","FBgn0263316"
"460","FBgn0014931"
"461","FBgn0025874"
"462","FBgn0030240"
"463","FBgn0031597"
"464","FBgn0031610"
"465","FBgn0036395"
"466","FBgn0036396"
"467","FBgn0037085"
"468","FBgn0037722"
"469","FBgn0038047"
"470","FBgn0264744"
"471","FBgn0023496"
"472","FBgn0024740"
"473","FBgn0032264"
"474","FBgn0032265"
"475","FBgn0032266"
"476","FBgn0032271"
"477","FBgn0034990"
"478","FBgn0043825"
"479","FBgn0051871"
"480","FBgn0051872"
"481","FBgn0265264"
"482","FBgn0030148"
"483","FBgn0031032"
"484","FBgn0031033"
"485","FBgn0031034"
"486","FBgn0033792"
"487","FBgn0038873"
"488","FBgn0039091"
"489","FBgn0039092"
"490","FBgn0039093"
"491","FBgn0053337"
"492","FBgn0259229"
"493","FBgn0035413"
"494","FBgn0035929"
"495","FBgn0035931"
"496","FBgn0035932"
"497","FBgn0035933"
"498","FBgn0036563"
"499","FBgn0052023"
"500","FBgn0052024"
"501","FBgn0053258"
"502","FBgn0085455"
"503","FBgn0085456"
"504","FBgn0036947"
"505","FBgn0039042"
"506","FBgn0040950"
"507","FBgn0051439"
"508","FBgn0053263"
"509","FBgn0053983"
"510","FBgn0053985"
"511","FBgn0053986"
"512","FBgn0259192"
"513","FBgn0261681"
"514","FBgn0261682"
"515","FBgn0264309"
"516","FBgn0266647"
"517","FBgn0267042"
"518","FBgn0267043"
"519","FBgn0267044"
"520","FBgn0267045"
"521","FBgn0267046"
"522","FBgn0267047"
"523","FBgn0267048"
"524","FBgn0267049"
"525","FBgn0267050"
"526","FBgn0001133"
"527","FBgn0015025"
"528","FBgn0030206"
"529","FBgn0030314"
"530","FBgn0030316"
"531","FBgn0034062"
"532","FBgn0034114"
"533","FBgn0034379"
"534","FBgn0035036"
"535","FBgn0043796"
"536","FBgn0002569"
"537","FBgn0002570"
"538","FBgn0002571"
"539","FBgn0032381"
"540","FBgn0032382"
"541","FBgn0033294"
"542","FBgn0033296"
"543","FBgn0033297"
"544","FBgn0050359"
"545","FBgn0050360"
"546","FBgn0004045"
"547","FBgn0004047"
"548","FBgn0005391"
"549","FBgn0030828"
"550","FBgn0031976"
"551","FBgn0032029"
"552","FBgn0035697"
"553","FBgn0036367"
"554","FBgn0036977"
"555","FBgn0265267"
"556","FBgn0011822"
"557","FBgn0032049"
"558","FBgn0032303"
"559","FBgn0032304"
"560","FBgn0038505"
"561","FBgn0038506"
"562","FBgn0038507"
"563","FBgn0051926"
"564","FBgn0051928"
"565","FBgn0053128"
"566","FBgn0026393"
"567","FBgn0026397"
"568","FBgn0026398"
"569","FBgn0030016"
"570","FBgn0033041"
"571","FBgn0033043"
"572","FBgn0034865"
"573","FBgn0034866"
"574","FBgn0037576"
"575","FBgn0039551"
"576","FBgn0028539"
"577","FBgn0031169"
"578","FBgn0031170"
"579","FBgn0031171"
"580","FBgn0034493"
"581","FBgn0036747"
"582","FBgn0051213"
"583","FBgn0083956"
"584","FBgn0261998"
"585","FBgn0263747"
"586","FBgn0033727"
"587","FBgn0036009"
"588","FBgn0036078"
"589","FBgn0037590"
"590","FBgn0037591"
"591","FBgn0037594"
"592","FBgn0037685"
"593","FBgn0038203"
"594","FBgn0038798"
"595","FBgn0041622"
"596","FBgn0034335"
"597","FBgn0063491"
"598","FBgn0063492"
"599","FBgn0063493"
"600","FBgn0063494"
"601","FBgn0063495"
"602","FBgn0063496"
"603","FBgn0063497"
"604","FBgn0063498"
"605","FBgn0063499"
"606","FBgn0001174"
"607","FBgn0031719"
"608","FBgn0035563"
"609","FBgn0035569"
"610","FBgn0035570"
"611","FBgn0035572"
"612","FBgn0036349"
"613","FBgn0042199"
"614","FBgn0085295"
"615","FBgn0011554"
"616","FBgn0011556"
"617","FBgn0025383"
"618","FBgn0029826"
"619","FBgn0029827"
"620","FBgn0029828"
"621","FBgn0039703"
"622","FBgn0043471"
"623","FBgn0052755"
"624","FBgn0011834"
"625","FBgn0030773"
"626","FBgn0030774"
"627","FBgn0030775"
"628","FBgn0030776"
"629","FBgn0030777"
"630","FBgn0031141"
"631","FBgn0052523"
"632","FBgn0085487"
"633","FBgn0026754"
"634","FBgn0026755"
"635","FBgn0026756"
"636","FBgn0031887"
"637","FBgn0038082"
"638","FBgn0038083"
"639","FBgn0040260"
"640","FBgn0040261"
"641","FBgn0040262"
"642","FBgn0032080"
"643","FBgn0032082"
"644","FBgn0032843"
"645","FBgn0035216"
"646","FBgn0035888"
"647","FBgn0038832"
"648","FBgn0039591"
"649","FBgn0052984"
"650","FBgn0052985"
"651","FBgn0033434"
"652","FBgn0033437"
"653","FBgn0039106"
"654","FBgn0039107"
"655","FBgn0050339"
"656","FBgn0051636"
"657","FBgn0053514"
"658","FBgn0053965"
"659","FBgn0053966"
"660","FBgn0034291"
"661","FBgn0034292"
"662","FBgn0034293"
"663","FBgn0034294"
"664","FBgn0034295"
"665","FBgn0035343"
"666","FBgn0039670"
"667","FBgn0039671"
"668","FBgn0054005"
"669","FBgn0034382"
"670","FBgn0034383"
"671","FBgn0037761"
"672","FBgn0037762"
"673","FBgn0037763"
"674","FBgn0037764"
"675","FBgn0037765"
"676","FBgn0039030"
"677","FBgn0051141"
"678","FBgn0036588"
"679","FBgn0036870"
"680","FBgn0036871"
"681","FBgn0036872"
"682","FBgn0036873"
"683","FBgn0052208"
"684","FBgn0052212"
"685","FBgn0052213"
"686","FBgn0052214"
"687","FBgn0038479"
"688","FBgn0038481"
"689","FBgn0038482"
"690","FBgn0038484"
"691","FBgn0038485"
"692","FBgn0051265"
"693","FBgn0051266"
"694","FBgn0051267"
"695","FBgn0051269"
"696","FBgn0038643"
"697","FBgn0039452"
"698","FBgn0040607"
"699","FBgn0040608"
"700","FBgn0040609"
"701","FBgn0040687"
"702","FBgn0040958"
"703","FBgn0040959"
"704","FBgn0085311"
"705","FBgn0086915"
"706","FBgn0267411"
"707","FBgn0267412"
"708","FBgn0267413"
"709","FBgn0267417"
"710","FBgn0267490"
"711","FBgn0267491"
"712","FBgn0267492"
