"","V1"
"798","TC005022"
"799","TC005152"
"800","TC005292"
"801","TC006145"
"802","TC006914"
"803","TC006922"
"804","TC006960"
"805","TC010687"
"806","TC012983"
"807","TC015228"
"808","TC016008"
"809","TC016043"
"810","TC016184"
"811","TC032974"
"812","TC000282"
"813","TC001546"
"814","TC005351"
"815","TC005352"
"816","TC005384"
"817","TC005385"
"818","TC005386"
"819","TC005387"
"820","TC006441"
"821","TC006442"
"822","TC006444"
"823","TC006445"
"824","TC015218"
"825","TC034179"
"826","TC034185"
"827","TC034188"
"828","TC034829"
"829","TC034830"
"830","TC009160"
"831","TC009161"
"832","TC009162"
"833","TC009650"
"834","TC009651"
"835","TC009652"
"836","TC009653"
"837","TC009654"
"838","TC009655"
"839","TC009656"
"840","TC009657"
"841","TC009658"
"842","TC009659"
"843","TC009773"
"844","TC009774"
"845","TC009775"
"846","TC010205"
"847","TC033688"
"848","TC001689"
"849","TC001821"
"850","TC002267"
"851","TC002640"
"852","TC002642"
"853","TC004249"
"854","TC008581"
"855","TC008736"
"856","TC010314"
"857","TC010554"
"858","TC011585"
"859","TC014853"
"860","TC015630"
"861","TC016117"
"862","TC031219"
"863","TC031349"
"864","TC031351"
"865","TC001854"
"866","TC002020"
"867","TC002323"
"868","TC004205"
"869","TC004207"
"870","TC004347"
"871","TC005037"
"872","TC005150"
"873","TC005196"
"874","TC005264"
"875","TC005289"
"876","TC006002"
"877","TC006959"
"878","TC008592"
"879","TC010616"
"880","TC010982"
"881","TC016185"
"882","TC002428"
"883","TC007002"
"884","TC007090"
"885","TC007127"
"886","TC007433"
"887","TC007784"
"888","TC009917"
"889","TC015262"
"890","TC031341"
"891","TC031342"
"892","TC031628"
"893","TC031689"
"894","TC031718"
"895","TC032717"
"896","TC032724"
"897","TC032889"
"898","TC032993"
"899","TC030253"
"900","TC030258"
"901","TC030259"
"902","TC030260"
"903","TC030261"
"904","TC030262"
"905","TC030263"
"906","TC030264"
"907","TC030270"
"908","TC030272"
"909","TC030273"
"910","TC030275"
"911","TC030276"
"912","TC030277"
"913","TC030278"
"914","TC034136"
"915","TC034570"
"916","TC000760"
"917","TC005740"
"918","TC005741"
"919","TC005750"
"920","TC005751"
"921","TC005754"
"922","TC005771"
"923","TC006255"
"924","TC015224"
"925","TC030935"
"926","TC032044"
"927","TC034058"
"928","TC034059"
"929","TC034060"
"930","TC034061"
"931","TC034133"
"932","TC001388"
"933","TC004203"
"934","TC004808"
"935","TC005125"
"936","TC006874"
"937","TC006887"
"938","TC006954"
"939","TC010086"
"940","TC010095"
"941","TC010096"
"942","TC010269"
"943","TC010284"
"944","TC012970"
"945","TC016407"
"946","TC016408"
